GE,ME,MI
ENSG00000137843,ENSG00000127995,ENSG00000130037
ENSG00000137868,ENSG00000128284,ENSG00000130312
ENSG00000137869,ENSG00000128422,ENSG00000130935
ENSG00000137948,ENSG00000128731,ENSG00000130956
ENSG00000137968,ENSG00000129128,ENSG00000131368
ENSG00000138622,ENSG00000129173,ENSG00000131409
ENSG00000138696,ENSG00000129292,ENSG00000131462
ENSG00000138759,ENSG00000129295,ENSG00000131480
ENSG00000139044,ENSG00000129455,ENSG00000131748
ENSG00000139055,ENSG00000129625,ENSG00000131864
ENSG00000139219,ENSG00000129646,ENSG00000131943
ENSG00000139329,ENSG00000129667,ENSG00000131981
ENSG00000139515,ENSG00000129965,ENSG00000132205
ENSG00000139910,ENSG00000129993,ENSG00000132376
ENSG00000139915,ENSG00000130024,ENSG00000132423
ENSG00000140274,ENSG00000130313,ENSG00000132561
ENSG00000140279,ENSG00000130508,ENSG00000132670
ENSG00000140459,ENSG00000130561,ENSG00000132703
ENSG00000140465,ENSG00000130592,ENSG00000132821
ENSG00000140505,ENSG00000130749,ENSG00000132846
ENSG00000140538,ENSG00000130762,ENSG00000132915
ENSG00000140835,ENSG00000130844,ENSG00000132963
ENSG00000141750,ENSG00000131018,ENSG00000133169
ENSG00000142149,ENSG00000131188,ENSG00000133574
ENSG00000142182,ENSG00000131408,ENSG00000133742
ENSG00000142235,ENSG00000131469,ENSG00000133874
ENSG00000142319,ENSG00000131504,ENSG00000133884
ENSG00000142549,ENSG00000131831,ENSG00000133962
ENSG00000142611,ENSG00000131931,ENSG00000134028
ENSG00000143001,ENSG00000132141,ENSG00000134070
ENSG00000143006,ENSG00000132300,ENSG00000134283
ENSG00000143196,ENSG00000132321,ENSG00000134375
ENSG00000143797,ENSG00000132330,ENSG00000134748
ENSG00000143816,ENSG00000132429,ENSG00000134755
ENSG00000143839,ENSG00000132510,ENSG00000134873
ENSG00000143921,ENSG00000132554,ENSG00000135069
ENSG00000143994,ENSG00000132740,ENSG00000135248
ENSG00000144045,ENSG00000133048,ENSG00000135414
ENSG00000144057,ENSG00000133069,ENSG00000135437
ENSG00000144227,ENSG00000133106,ENSG00000135443
ENSG00000144354,ENSG00000133640,ENSG00000135451
ENSG00000144596,ENSG00000133687,ENSG00000135472
ENSG00000144852,ENSG00000133710,ENSG00000135521
ENSG00000145198,ENSG00000134245,ENSG00000135835
ENSG00000145506,ENSG00000134283,ENSG00000135845
ENSG00000145526,ENSG00000134369,ENSG00000135905
ENSG00000145824,ENSG00000134516,ENSG00000135916
ENSG00000146013,ENSG00000134533,ENSG00000135973
ENSG00000146038,ENSG00000134569,ENSG00000136010
ENSG00000146049,ENSG00000134802,ENSG00000136048
ENSG00000146352,ENSG00000134852,ENSG00000136244
ENSG00000146530,ENSG00000134910,ENSG00000136487
ENSG00000146555,ENSG00000135124,ENSG00000136522
ENSG00000146755,ENSG00000135148,ENSG00000136631
ENSG00000146858,ENSG00000135248,ENSG00000136840
ENSG00000147223,ENSG00000135363,ENSG00000136868
ENSG00000147246,ENSG00000135365,ENSG00000136895
ENSG00000147256,ENSG00000135413,ENSG00000137040
ENSG00000147481,ENSG00000135447,ENSG00000137054
ENSG00000148053,ENSG00000135636,ENSG00000137073
ENSG00000148513,ENSG00000135637,ENSG00000137142
ENSG00000148848,ENSG00000135677,ENSG00000137251
ENSG00000148948,ENSG00000135905,ENSG00000137261
ENSG00000149043,ENSG00000135913,ENSG00000137285
ENSG00000149124,ENSG00000135924,ENSG00000137338
ENSG00000149243,ENSG00000135929,ENSG00000137440
ENSG00000149328,ENSG00000136108,ENSG00000137500
ENSG00000149403,ENSG00000136213,ENSG00000137674
ENSG00000149451,ENSG00000136240,ENSG00000137720
ENSG00000149571,ENSG00000136270,ENSG00000137776
ENSG00000149948,ENSG00000136295,ENSG00000137834
ENSG00000149972,ENSG00000136319,ENSG00000137936
ENSG00000150556,ENSG00000136378,ENSG00000137947
ENSG00000150594,ENSG00000136444,ENSG00000138030
ENSG00000150750,ENSG00000136699,ENSG00000138115
ENSG00000151025,ENSG00000136715,ENSG00000138131
ENSG00000151365,ENSG00000136731,ENSG00000138207
ENSG00000151572,ENSG00000136811,ENSG00000138326
ENSG00000151640,ENSG00000137101,ENSG00000138381
ENSG00000151892,ENSG00000137648,ENSG00000138442
ENSG00000151917,ENSG00000137699,ENSG00000138459
ENSG00000152076,ENSG00000137731,ENSG00000138472
ENSG00000152128,ENSG00000137747,ENSG00000138768
ENSG00000152595,ENSG00000137752,ENSG00000139044
ENSG00000152910,ENSG00000137968,ENSG00000139182
ENSG00000152977,ENSG00000138496,ENSG00000139287
ENSG00000153404,ENSG00000138639,ENSG00000139344
ENSG00000153558,ENSG00000138674,ENSG00000139370
ENSG00000153779,ENSG00000138735,ENSG00000139531
ENSG00000153822,ENSG00000138835,ENSG00000139613
ENSG00000153930,ENSG00000139182,ENSG00000139890
ENSG00000154143,ENSG00000139323,ENSG00000140009
