GE,ME,MI
ENSG00000120440,ENSG00000107099,ENSG00000113456
ENSG00000120669,ENSG00000107105,ENSG00000113569
ENSG00000120729,ENSG00000107164,ENSG00000113621
ENSG00000120907,ENSG00000107249,ENSG00000113645
ENSG00000121207,ENSG00000107295,ENSG00000113734
ENSG00000121690,ENSG00000107625,ENSG00000113924
ENSG00000121742,ENSG00000107819,ENSG00000114026
ENSG00000121871,ENSG00000108379,ENSG00000114268
ENSG00000122025,ENSG00000108389,ENSG00000114784
ENSG00000122121,ENSG00000108474,ENSG00000115053
ENSG00000122367,ENSG00000108479,ENSG00000115204
ENSG00000122584,ENSG00000108590,ENSG00000115221
ENSG00000122585,ENSG00000108666,ENSG00000115226
ENSG00000122711,ENSG00000108984,ENSG00000115233
ENSG00000122756,ENSG00000109132,ENSG00000115234
ENSG00000122824,ENSG00000109184,ENSG00000115266
ENSG00000122859,ENSG00000109586,ENSG00000115317
ENSG00000123201,ENSG00000109610,ENSG00000115318
ENSG00000123364,ENSG00000109625,ENSG00000115325
ENSG00000123388,ENSG00000109680,ENSG00000115350
ENSG00000123407,ENSG00000109705,ENSG00000115392
ENSG00000123560,ENSG00000109743,ENSG00000115474
ENSG00000123561,ENSG00000110013,ENSG00000115514
ENSG00000123570,ENSG00000110777,ENSG00000115526
ENSG00000123572,ENSG00000110871,ENSG00000115652
ENSG00000123838,ENSG00000110880,ENSG00000115758
ENSG00000123843,ENSG00000110887,ENSG00000115816
ENSG00000123999,ENSG00000110917,ENSG00000115840
ENSG00000124003,ENSG00000111057,ENSG00000116039
ENSG00000124134,ENSG00000111237,ENSG00000116161
ENSG00000124157,ENSG00000111266,ENSG00000116218
ENSG00000124233,ENSG00000111642,ENSG00000116251
ENSG00000124249,ENSG00000111665,ENSG00000116711
ENSG00000124260,ENSG00000111727,ENSG00000116871
ENSG00000124302,ENSG00000112146,ENSG00000116885
ENSG00000124343,ENSG00000112159,ENSG00000116903
ENSG00000124479,ENSG00000112183,ENSG00000117069
ENSG00000124749,ENSG00000112186,ENSG00000117153
ENSG00000124939,ENSG00000112200,ENSG00000117322
ENSG00000125207,ENSG00000112280,ENSG00000117395
ENSG00000125285,ENSG00000112282,ENSG00000117400
ENSG00000125508,ENSG00000112294,ENSG00000117419
ENSG00000125780,ENSG00000112655,ENSG00000117450
ENSG00000125788,ENSG00000112977,ENSG00000117528
ENSG00000125820,ENSG00000113194,ENSG00000117593
ENSG00000125823,ENSG00000113361,ENSG00000117602
ENSG00000125851,ENSG00000113389,ENSG00000117724
ENSG00000125872,ENSG00000113430,ENSG00000117751
